title,summary,"Factual Accuracy / Faithfulness: “The summary’s claims are correct and do not invent facts or misattribute statements.”
","Coverage / Salience: The summary captures the article’s main points and most important details, not just trivia.",Coherence / Structure: The summary is well-organized and easy to follow; ideas flow logically,Conciseness: The summary conveys the key points with minimal redundancy or fluff
Swe-bench_multimodal__Do_ai_systems_generalize_to_visual_software_domains_.pdf,"SWE-bench Multimodal (SWE-bench M) is introduced as the first benchmark to evaluate AI systems on visual, user-facing JavaScript software tasks, expanding beyond the Python-only SWE-bench. It contains 619 task instances from 17 open-source JavaScript repositories, featuring images or videos in problem statements or tests, with 83.5% of tasks deemed visually necessary to solve. The study finds that existing systems that perform well on SWE-bench struggle on SWE-bench M, largely due to visual reasoning requirements and JavaScript language diversity, and many Python-centric localization tools don’t transfer well. Across baselines, the best results are around 12% of tasks resolved, with multimodal, language-agnostic SWE-agent variants performing slightly better than others in some configurations, but overall margins are small and highly dependent on image content. The authors argue that generalizable, language- and modality-agnostic agent systems—emphasizing interaction and environment navigation over rigid pipelines—are needed to tackle visual software domains. SWE-bench M thus highlights the limitations of current approaches and motivates developing more flexible, cross-language, multimodal tools for real-world front-end and visualization tasks.",5,5,5,5
CodeV__Issue_Resolving_with_Visual_Data.pdf,"CODEV is a method that enhances GitHub issue resolution by leveraging visual data (images and videos) in issues, addressing a gap where prior work focused only on textual content. It uses a two-phase approach: first, data processing, which includes fine-grained descriptions of each visual element and a structured, multi-field summary of the issue; second, patch generation, which feeds this processed information into LLMs to produce a code patch. To evaluate visual reasoning, the authors create Visual SWE-bench, a 133-task benchmark across 11 open-source repositories that includes accompanying visuals. Experiments show CODEV achieves state-of-the-art performance, delivering the best Resolved% and about a 60% relative improvement over the Agentless baseline, with further gains when combined with Agentless. Ablation studies reveal that removing any component (independent/contextual descriptions or structured summarization) degrades performance, with structured summarization being particularly important. The results are robust across different vision-language models and coding LLMs, indicating broad applicability, though the work notes limitations such as reliance on a self-constructed benchmark and costs of deploying large models.",4,5,5,5
"Unlimited_Practice_Opportunities__Automated_Generation_of_Comprehensive,_Personalized_Programming_Tasks.pdf","The article introduces a new Tutor Kai feature that automatically generates comprehensive programming tasks—complete with problem descriptions, code skeletons, unit tests, and model solutions—while letting students choose programming concepts and contexts for personalized practice. It reports a two-phase mixed-methods evaluation: Phase 1 with expert/automated assessment of 200 tasks, and Phase 2 with 26 CS students solving and rating tasks. Phase 1 found that 89.5% of tasks were functional and 92.5% solvable, with context integration at 100%, but the ability to implement all requested concepts dropped from 94% for single-concept tasks to 40% for three-concept tasks. Unit tests were correct for 80% of solvable tasks and model solutions were correct in 85.4%, with iterative reflection helping to repair non-functional tasks over iterations. In Phase 2, students reported high satisfaction with personalization, found contextual relevance and problem descriptions solid, and perceived unlimited personalized tasks as beneficial for learning. The authors conclude the feature shows strong potential to provide unlimited, personalized practice and reduce instructor workload, while acknowledging challenges like misalignment between task descriptions and assessments, prompt-injection risks, and the need for educator-in-the-loop validation; future work includes improving task quality and adaptive difficulty.",5,5,5,5
Improving_Examples_in_Web_API_Specifications_using_Iterated-Calls_In-Context_Learning.pdf,"The article presents ICICL (Iterated-Calls In-Context Learning) as a method to automatically generate diverse and correct API parameter examples for OpenAPI specifications by combining retrieval-based prompting, multiple prompt contexts, and post-processing. It builds a parameter bank from thousands of OpenAPI specs, uses BM25 to retrieve similar parameters, generates a greedy (likely correct) example, and then creates multiple prompt contexts (five-shot each) to produce diverse candidates via higher-temperature iterative calls, finally selecting three examples that are type-correct and similar to the greedy one. Intrinsic evaluation shows high type correctness (near 99%), improved uniqueness, and better overall correctness as each component is added. Extrinsic evaluation demonstrates that adding these examples to fuzzers increases 2xx responses and branch coverage, while also improving API chatbots (SeqATIS and SGD) and human API understanding; in some cases, synthetic examples nearly match or outperform hand-written ones. The authors conclude that adding examples via ICICL benefits testing, understanding, and chatbot tasks across APIs, and they release their prompting code and artifacts for reproducibility.",,,,
The_Sustainability_Face_of_Automated_Program_Repair_Tools.pdf,"- The paper investigates the energy consumption of Automated Program Repair (APR) tools, arguing that software sustainability should accompany repair accuracy. 
- It measures energy usage for ten traditional APR tools and eleven fine-tuned LLM-based models repairing real Defects4J bugs, analyzing the trade-off between energy and repairability. 
- Findings show that some high-energy traditional tools (e.g., TBar) fix more bugs but incur large energy costs, while others (e.g., SimFix, CodeT5-Large) achieve a better energy–repair balance. 
- For LLMs, larger models consume more energy due to GPU requirements, and a portion of energy is spent on overfitting patches; the study introduces energy metrics (A0, E5, E52) to quantify energy to first plausible and first correct patches. 
- The results indicate a positive but imperfect correlation between energy spent and the number of bugs correctly repaired, with energy use varying by bug difficulty and project, complicating cross-family comparisons. 
- The authors offer guidelines for greener APR and make the data publicly available to support replication.",,,,
Speed_Up_Your_Code__Progressive_Code_Acceleration_Through_Bidirectional_Tree_Editing.pdf,"The article addresses code acceleration (CA) with LLMs, noting that existing training data often obscure acceleration patterns and ignore hierarchical relationships among optimizations. It presents BITE, a framework combining bidirectional tree editing (a code optimizer and a code degrader to generate optimized and degraded variants, using optimization and degradation trees with pruning) with progressive code acceleration learning (PKAC) that uses multi-level data to gradually master increasingly complex CA patterns. It also introduces a new CA benchmark spanning five languages, up-to-date Codeforces data, and a new Acceleration Progress (AP) metric to gauge how close generated code is to the optimal, alongside traditional OPT, SP, and COR metrics. Experimental results show BITE improves CA performance across LLMs, with Qwen 1.5B outperforming prompt-enhanced GPT-4 on many tasks, and multilingual training providing consistent gains. Ablation studies indicate larger tree degrees and multi-stage training enhance exploration and consolidation, supporting the effectiveness of progressive learning. Limitations include optimizing only runtime (not memory) and relying on open-source LLMs due to cost, suggesting future work on multi-objective optimization and broader code types.",,,,
LLM_program_optimization_via_retrieval_augmented_search.pdf,"The authors introduce Retrieval Augmented Search (RAS), a black-box method that optimizes code by beam-searching over candidate edits guided by in-context examples retrieved from a training set of slow-fast programs. Unlike prior work, RAS uses contextual retrieval based on an LLM-generated natural language description of the program, and iteratively retrieves, applies, and evaluates edits to progressively improve performance. On the PIE benchmark for C++, RAS achieves state-of-the-art results, delivering around 8x mean speedup compared with about 4.4x for previous dynamic retrieval baselines. To improve interpretability, they propose Atomic Edit Guided Search (AEGIS), which decomposes training pairs into atomic edits and uses RAS to search over these incremental edits. AEGIS yields about 6x average speedup with smaller edits (lower edit distance) than RAS, though it generally trails full RAS in raw speedup; ablations show the value of contextual retrieval and search. They note limitations such as higher computational cost due to beam search and additional training-time compute for AEGIS, but conclude that RAS and AEGIS are promising for blackbox LLM adaptation to code optimization and potentially other tasks.",,,,
SV-TrustEval-C__Evaluating_Structure_and_Semantic_Reasoning_in_Large_Language_Models_for_Source_Code_Vulnerability_Analysis.pdf,"The article presents SV-TrustEval-C, a benchmark designed to evaluate LLMs’ reliability in vulnerability analysis of C code, focusing on two core capabilities: structure reasoning (data and control flow) and semantic reasoning (counterfactual, goal-driven, and predictive scenarios). It introduces a Structure-Oriented Variants Generator that creates safe, unsafe, and impaired code variants by analyzing data/control flow graphs and increasing structural complexity. Built on the Juliet Test Suite, SV-TrustEval-C includes 377 base files across 82 CWEs, producing 1,297 unsafe and 1,286 safe variants and a total of 9,401 questions spanning both structural and semantic tasks. The study applies label masking to avoid leakage and evaluates 11 popular LLMs in zero-shot and in-context learning settings. Results show that current LLMs struggle to understand complex code relationships and largely rely on pattern matching rather than robust reasoning, with performance improving for larger or instruction-tuned models but remaining unsatisfactory overall. The authors provide the dataset publicly on HuggingFace and advocate for further work to enhance LLM reasoning for trustworthy real-world vulnerability analysis.",,,,
Enhancing_code_llm_training_with_programmer_attention.pdf,"The authors introduce HumanLLM, a two-part approach that integrates programmer eye-tracking signals into CodeT5 training to improve code summarization (also tested on completion and translation). They collect real eye-tracking data from professional Java developers and augment code tokens with semantic AST labels, adjacency-based expansions, k-gram patterns, and positional reading order. A reward-guided fine-tuning loop periodically uses these human-informed signals to adjust training, adding a reward term to the standard cross-entropy loss to align outputs with human fixations. On CodeXGlue code summarization, they report notable gains: BLEU +4.96, ROUGE-L +4.11, METEOR +5.66, and CodeBLEU +7.16 with Syntax +2.67 and Dataflow +14.97. They find that adjacency window size and training progress influence performance, with larger windows generally helping up to a point. However, for code completion and Java-to-C# translation, the fixation-based cues yield limited gains, suggesting task-specific cues are needed. They acknowledge threats to validity (Java-heavy data, sampling) and outline future work to extend the approach to other tasks and richer human signals.",,,,
Acecoder__Acing_coder_rl_via_automated_test-case_synthesis.pdf,"ACECODER presents a fully automated pipeline that synthesizes large-scale test cases to train reward models and perform reinforcement learning for code generation. The authors build ACECODE-87K by turning seed Python datasets into structured LeetCode-style questions, generating around 20 imagined tests per prompt, and filtering them with a stronger coder model, resulting in 87.1K questions and 1.38M clean test cases. They train reward models ACECODE-RM-7B and ACECODE-RM-32B using Bradley-Terry loss on approximately 300K preference pairs, and show strong Best-of-N improvements across multiple backbones (e.g., Llama-3.1, Qwen-2.5-Coder-7B-Instruct). In reinforcement learning, they fine-tune policies with Reinforcement++ using either the reward model or test-case pass rewards, achieving consistent gains on HumanEval, MBPP, BigCodeBench, and LiveCodeBench, including up to 25% improvement on HumanEval-Plus when starting from a base model with only 80 RL steps. ACECODE-RM also outperforms other open-source reward models on RM-Bench and can match or exceed results of much larger models on select tasks, suggesting reliable test-case signals are especially valuable for code generation. The authors acknowledge limitations around test-case quality and potential reward hacking, and emphasize that RL gains can vary, indicating room for further improvement. Overall, they claim this is the first work to jointly train reward models and perform RL for coding with a fully automated test-case synthesis pipeline, providing ACECODE-RM and ACECODE-87K as resources for the community.",,,,
On_Pretraining_For_Project-Level_Code_Completion.pdf,"- The paper studies repository-level pretraining for project-level code completion using OpenCoder 1.5B, extending the context window from 4K to 16K tokens by training on about 1B curated repository tokens. 
- On the Long Code Arena’s Project-Level Code Completion (LCA-large), the model achieves state-of-the-art results with far less data than competing models, demonstrating the effectiveness of repository-level pretraining at a smaller scale. 
- A key finding is that the choice of context composer (how repository files are aggregated into context) has only marginal impact, with gains of roughly +3 points in some settings, while adapting to a longer RoPE-based context window provides the main performance boost (approximately +19 to +22 EM points in certain comparisons). 
- The results also show that a simpler file-level training approach at the original sequence length remains effective, making repository-level research accessible with limited data and compute. 
- The authors acknowledge that the study is limited to OpenCoder and may not generalize to other LLMs, and they call for testing broader Code LLMs in future work. 
- Overall, the work argues that improving long-context attention (RoPE scaling) is the dominant factor in long-context code completion, with repository-processing strategies playing a secondary role.",,,,
DeCOS__Data-Efficient_Reinforcement_Learning_for_Compiler_Optimization_Selection_Ignited_by_LLM.pdf,"The article presents DeCOS, a data-efficient reinforcement learning framework for selecting compiler optimization sequences, boosted by large language model (LLM) guidance. To improve data efficiency, DeCOS uses a training-data synthesizer for hyperparameter tuning and incorporates simulation results to refine profiling information, reducing the need for costly real-data collection. It employs an augmented code representation that fuses lightweight IR embeddings (IR2vec reduced to 8 dimensions) with runtime performance counters and additional signals such as past optimization choices and time-consuming instructions. An LLM (GPT-4o-mini) accelerates the start-up phase by suggesting promising initial optimizations and interacting with the RL agent to refine exploration. To handle noise in profiling, DeCOS combines real profiling with Cachegrind-based simulations for intermediate observations while using real data to validate final performance gains. The system optimizes function-level LLVM IR by iteratively building optimization sequences up to length 16 and updating its policy every three completed sequences, achieving performance that matches or surpasses Opentuner on SPEC benchmarks and demonstrating portability across apps and hardware.",,,,
AnnCoder__A_Mti-Agent-Based_Code_Generation_and_Optimization_Model.pdf,"AnnCoder is a multi-agent framework for code generation that fuses simulated annealing with evolutionary genetics in a closed-loop to escape local optima and improve solution quality. It employs a four-dimensional, dynamically weighted scoring system (functional correctness, efficiency, symmetry, readability) with adaptive temperature control to balance exploration and convergence. The system features Case Retrieval, Code Synthesis, and Defect Diagnosis agents plus a closed-loop feedback mechanism that updates semantic weights and defensive templates based on failures. Its Evolutionary Annealing Optimization module combines elitism and tournament selection, uses defensive crossover with templates, adjusts temperature according to population diversity, and enforces a token budget. Defensive Programming Templates (input validation, error handling, boundary checks) are integrated to boost robustness and reduce debugging needs. On four benchmarks (HumanEval, HumanEval-ET, EvalPlus, MBPP) across multiple LLMs, AnnCoder achieves leading performance (e.g., about 90% on HumanEval and MBPP, with strong results on the other datasets), outperforming baselines such as Reflexion, Self-Planning, MapCoder, and CodeSim.",,,,
Evaluating_the_Generalizability_of_LLMs_in_Automated_Program_Repair.pdf,"The authors evaluate 11 top-performing LLMs on automated program repair (APR) using both Defects4J and a newly created transformed dataset, DEFECTS4J-TRANS, to study generalizability. DEFECTS4J-TRANS is produced by five AST-based transformations (variable renaming, loop changes, switch-to-if, dead code insertion, and boolean negation) that preserve semantics but alter content. Results show all LLMs experience a substantial drop on the transformed data: on average, correct patches fall by about 49.5% and plausible patches by about 42.9%. They also test adding repair-relevant information to prompts; for four LLMs with weaker generalizability, these prompts boost correct patches by 29.4%–136.7% and plausible patches by 9.8%–121.8%, with bug-report information yielding the strongest gains, yet overall performance remains below the original Defects4J results. The study observes that larger models sometimes generalize worse, potentially due to overfitting, and notes that many patches still target injected dead code or transformed predicates rather than real errors. The authors conclude that prompt engineering alone is insufficient to substantially improve generalizability and propose future directions such as code normalization, integrating traditional APR techniques, broader evaluations, and sharing data.",,,,
Benchmarking_and_categorizing_the_performance_of_neural_program_repair_systems_for_Java.pdf,"- The article argues that evaluating Neural Program Repair (NPR) systems is biased because systems are trained on different data and are often judged only by total bugs fixed; it introduces NPR4J, a benchmark and framework for fair training and evaluation of NPR for Java. 
- They retrain seven state-of-the-art NPR systems on a unified dataset and evaluate them across three sources (Defects4J, QuixBugs, Bears, plus others), yielding 9,070 plausible patches with 1,849 confirmed correct patches after manual review. 
- A key contribution is a lightweight bug taxonomy (ErrorState: Redundant, Incorrect, Missing; ErrorElement: Token, PartialStmt, WholeStmt, MultiStmt) to assess NPR repairability by defect class. 
- The study investigates both effectiveness (which bug types NPRs can repair) and efficiency (how performance changes with beam size and with evaluating more plausible patches). 
- They also compare NPRs to non-learning APR approaches by measuring overlap/uniqueness of fixes on Defects4J to understand the distinct value of neural methods. 
- NPR4J provides a modular pipeline (DataManager, Preprocessor, Trainer) and a curated, leakage-conscious dataset (NPR4J-Benchmark) to enable reproducible, fair evaluation and guidance for practitioners and researchers. 
- In conclusion, retraining on a unified dataset reveals varied repairability across bug types and shows that efficiency depends on configuration, underscoring the need for standardized benchmarks to meaningfully advance NPR.",,,,
CODEMORPH__Mitigating_Data_Leakage_in_Large_Language_Model_Assessment.pdf,"The paper tackles data leakage in Code LLM evaluation by introducing CODEMORPH, a framework that perturbs code across multiple languages (C/C++, Python, Java, Rust, Go) while preserving functionality and cross-file dependencies. CODEMORPH has two components: (1) a perturbation/verification module that uses 26 semantic-preserving transformations to produce diverse, compilable variants, and (2) PESO, a genetic-algorithm-based method that selects effective perturbations by optimizing a similarity-based objective. Similarity is computed from surface-level and semantic differences, and Boltzmann selection is used to balance exploration and exploitation during method choice. The authors evaluate on StarCoder with The Stack dataset, constructing 100 original samples per language and three code-completion task types, with human accuracy as the evaluation metric due to lack of unit tests. They report CODEMORPH reduces perturbed-code LLM accuracy by an average of 24.67% (Python up to 45%), and PESO achieves a 7.01% average reduction in code similarity (max 42.86%) and an average 15% drop in code-completion accuracy (max 25%) compared with random perturbations. The work provides a scalable, multi-language perturbation framework that preserves repository dependencies and offers an artifact for reproducibility.",,,,
Ecosystem_of_large_language_models_for_code.pdf,"The article presents an ecosystem view of LLMs for code (LLM4Code) on Hugging Face, compiling 429 models, 73 datasets, and 539 dependencies to study how code-oriented models and data interact. It finds that company-owned accounts dominate popularity (likes) and have high impact, though they do not necessarily contribute more models, and the network shows a few hub-like nodes with power-law degree distributions. The authors develop a nine-category taxonomy of model reuse (fine-tune, architecture sharing, quantization, continue training, model conversion, distillation, adapters, instruction-tuning, adversarial tuning) with fine-tuning and architecture sharing being the most common. They report publishing practices as lacking in documentation and license information (over 60% of models with no license), and while licenses tend to be permissive or AI-specific, they detect no incompatibilities due to missing licensing data. The paper also demonstrates the potential of using LLMs to automate ecosystem analysis, achieving 98% accuracy in identifying LLM4Code, 87% for base-model inference, and 89% for reuse-type prediction, and expanding the ecosystem to about 6,000+ items consistent with manual results. Finally, the authors discuss implications and recommendations to foster healthy growth, emphasizing improved documentation and clearer licensing.",,,,
Hybrid_automated_program_repair_by_combining_large_language_models_and_program_analysis.pdf,"GiantRepair is a hybrid automated program repair approach that uses patches generated by large language models (LLMs) as guidance to produce high-quality, program-specific patches through patch skeletons and context-aware instantiation. It tackles two main limitations of prior LLM-based APR: that LLM patches may be incorrect or domain-specific, and that evaluations often assume perfect fault localization. The method extracts concrete modifications from LLM patches via AST-level differencing, then abstracts these into skeletons with rules that preserve structure while omitting concrete details. It then instantiates these skeletons by static analysis to fill in usable and context-appropriate program elements, guided by three optimizations: element usability, similarity to both the buggy code and the LLM patch, and an adaptive application strategy that limits changes to a small, focused set. Patches are ranked and validated by running tests to identify plausible patches, with correctness defined as semantic equivalence to the developer patch. In Defects4J v1.2 and v2.0, GiantRepair improves correct fixes by about 28% and 23% over raw LLM patches and outperforms state-of-the-art APRs by at least 42 more bugs under perfect localization and at least 7 more under automated localization, demonstrating strong generality and complementarity across LLMs. The authors also open-source their implementation.",,,,
RAG_or_Fine-tuning__A_Comparative_Study_on_LCMs-based_Code_Completion_in_Industry.pdf,"- The paper compares Retrieval-Augmented Generation (RAG) and Fine-Tuning (FT) for industrial code completion using Tencent WXG’s large C++ codebase (about 160k files; 120k for retrieval/FT, 20k test). 
- It evaluates six large code models (DSC 1.3B/6.7B; QC 0.5B/1.5B/3B/7B) and several retrieval strategies (BM25, neural embeddings like CodeBERT/UniXcoder/CodeT5/CoCoSoDa, plus dependency-based retrieval). 
- Findings show a substantial domain gap for industrial code; both RAG and FT improve performance, but RAG can reach a higher performance ceiling, with BM25 delivering the strongest results among RAG methods. 
- FT and RAG are complementary, and combining them yields additional gains beyond either approach alone. 
- In terms of efficiency, FT is resource-intensive in preparation but incurs no runtime overhead, while RAG has lighter prep but adds runtime retrieval costs and longer input sequences, though it scales better with larger codebases. 
- The study provides practical guidance, suggesting using RAG for generalization, considering FT when resources permit, and being cautious with neural embeddings that may underperform; FT can also cause some forgetting on general tasks.",,,,
SWE-Dev__Building_Software_Engineering_Agents_with_Training_and_Inference_Scaling.pdf,"- SWE-Dev is an open-source software engineering agent framework focused on training and inference scaling to tackle real-world SWE tasks.  
- It introduces a scalable test-case generation pipeline that uses LLMs to create Gherkin-style descriptions and corresponding code patches, producing about 2,000 executable test cases from 38,000 issues across 4,000 repos, with an LLM-based filter to keep high-quality trajectories.  
- For inference, it uses iteration scaling (more interaction rounds per evaluation); larger models benefit more, e.g., SWE-Dev-32B reaches 36.6% resolve rate on SWE-bench-Verified, approaching GPT-4o performance.  
- Training-data scaling shows model performance increases roughly linearly with log data, with bigger models (32B) gaining more from additional trajectories (7B example: 574 to 16,639 trajectories from 13.0% to 22.8%).  
- Post-training, Rejection Sampling Fine-Tuning (RFT) provides the strongest gains, while offline RL methods like KTO and OREO offer smaller, more limited improvements.  
- SWE-Dev achieves state-of-the-art results among open-source SWE agents on SWE-bench-Verified and is publicly available on GitHub, offering a scalable foundation for future enhancements including online RL and adaptive iteration strategies.",,,,
FastFixer__an_efficient_and_effective_approach_for_repairing_programming_assignments.pdf,"FastFixer is an automated program repair (APR) approach for advanced programming assignments that combines a repair-oriented fine-tuning strategy with an inference acceleration method to produce accurate patches quickly. It introduces a modification-focused masking strategy during fine-tuning to bias the model toward learning actual patch Bank patterns and their necessary context, addressing the problem of models reproducing buggy code. The method runs in three stages: Prompt Generation (rich educational context and bug-type hints), Repair-oriented Fine-tuning (weighted loss over only the modified parts), and Program Repair (an inference acceleration technique that uses the buggy code as a draft for parallel verification). The acceleration mechanism builds a high-quality draft from the buggy code, performs a single autoregressive step to obtain a verified segment, and then accepts the longest matching prefix to speed up decoding, achieving substantial reductions in inference steps. Evaluated on Defects4DS and the expanded Defects4DS-L dataset, FastFixer achieves 312 fixed programs and a 20.46% improvement over PaR-ChatGPT, while delivering up to a 16.67× speedup compared to autoregressive decoding and outperforming baselines like ChatRepair and RepairLlama, especially on semantic errors. The results demonstrate FastFixer’s robustness and effectiveness for repairing complex student code and highlight the novelty of applying inference acceleration to LLM-based APR.",,,,
Question_Selection_for_Multi-Modal_Code_Search_Synthesis_using_Probabilistic_Version_Spaces.pdf,"EXCALIBUR is a multi-modal, interactive synthesizer for code search that combines an input-output example with a natural language description to address overfitting and misalignment with user intent. It guarantees soundness (all consistent programs pass the example) and bounded completeness (the target program is included within a bounded search space) and supports QA-based disambiguation. Candidate programs are encoded in a version space using a lightweight ExPath DSL, which avoids brute-force enumeration. A Probabilistic Version Space (ProbVS) uses an LLM to score code fragments against the NL description and propagates these scores to assign a user-aligned probability distribution over programs to guide question selection. Disambiguation is performed via a QA loop that employs a minimax-branch strategy to choose clusters of questions that minimize the worst-case number of interaction rounds. In experiments on 44 Java tasks, EXCALIBUR solves all tasks in 4.5 rounds on average without ProbVS (with about 68% top-ranked targets) and reduces to 3.68 rounds when ProbVS (with GPT-4o) is used, outperforming a SPORQ baseline.",,,,
When_Faster_Isn't_Greener__The_Hidden_Costs_of_LLM-Based_Code_Optimization.pdf,"Coignion, Quinton, and Rouvoy study the environmental trade-offs of using LLMs to optimize code. They evaluate eight optimization methods across five LLMs on 118 EvalPerf tasks, introducing the Break-Even Point (BEP) as the number of executions needed for energy savings to offset the optimization energy cost. They find that while some configurations can reduce energy usage by up to about 49%, these gains often require hundreds of thousands of executions to become profitable, and in many cases the optimization itself consumes more energy than it saves. Energy costs are dominated by the LLM generation phase, and larger models tend to incur higher per-optimization energy, sometimes by large factors. There is a weak negative correlation between runtime performance gains and actual energy savings, with some methods improving accuracy but others trading correctness for speed. The authors conclude that LLM-based optimization can be energy-efficient in the right contexts but requires careful model-method selection and energy monitoring across the code life cycle, prioritizing high-frequency workloads. They provide practical metrics (BEP, Efficient@k, Pass@1/Pass@result, DPS norm) and a replication package for energy-aware evaluation.",,,,
CodeContrast__A_Contrastive_Learning_Approach_for_Generating_Coherent_Programming_Exercises.pdf,"CodeContrast is a contrastive-learning model that generates coherent programming exercises by mapping problem descriptions, test cases, and code solutions into a shared feature space using three encoders (BERT for problems, BiLSTMs for test cases, and RoBERTa for code). It trains on positive triplets (matching problem–test case–solution) and negative triplets with NT-Xent loss, aided by hard negative mining, data augmentation (back-translation for descriptions and semantic-preserving code transformations), and curriculum learning. Automatic evaluation across Python, Java, and C++ shows high code correctness (average 92.3% of test cases passed) and strong problem–solution alignment (BLEU and BERTScore scores well above 0.8 and 0.85 respectively). Test-case coverage is robust, reported at about 85.7% statement, 79.4% branch, and 92.1% function coverage. Diversity metrics indicate substantial variety, with roughly 8.6k–8.9k unique problems, 8.9k–9.1k unique test cases, 8.8k–8.9k unique solutions, and text entropy around 4.18–4.21 bits. The authors implemented a software prototype and released the code on GitHub, validating the approach on GPU-backed infrastructure and arguing that CodeContrast effectively captures cross-component relationships to produce pedagogically valuable, coherent exercises.",,,,
Epicoder__Encompassing_diversity_and_complexity_in_code_generation.pdf,"EpiCoder introduces a feature tree-based framework to synthesize diverse and complex code data beyond seed snippets, organizing high-level code features into a hierarchical tree and iteratively evolving it to improve coverage. Features are extracted from seed data (From The Stack v2) using an LLM (GPT-4o) and hierarchical clustering, with node frequencies recording knowledge distribution. The framework expands the feature tree by sampling subtrees and growing them in depth and breadth, estimating new feature frequencies from siblings to enhance diversity and efficiency. Code generation is guided by reweighted feature distributions and sampled subtrees, enabling task generation that spans from function-level to multi-file and repository-level scenarios, with iterative debugging and test execution to ensure correctness. Trained on 380k function-level and 53k file-level synthetic samples, EpiCoder-Series achieve state-of-the-art performance on multiple function-level benchmarks and strong results on file-level XFileDep, indicating strong cross-level capability and potential for repo-level synthesis. Analyses show the synthetic data exhibits higher complexity and diversity (Halstead, cyclomatic, and other metrics) than baselines. The authors release their code and data publicly, illustrating the practicality and scalability of feature-tree guided code synthesis.",,,,
Supersonic__Learning_to_generate_source_code_optimizations_in_C_C++.pdf,"SUPERSONIC is a seq2seq-based system that learns to generate small, diff-based source-code optimizations in C/C++. It is trained on pairs (xt, xt+1) mined from competitive programming submissions (Codeforces, AtCoder, AIZU) with strict filters to ensure limited edits and high similarity, and it uses canonicalization, diff-synthesis, and post-processing to apply patches to the original code. The model is initialized from CodeBERT-CPP and consists of 278 million parameters, trained on a large dataset of optimization pairs. At inference, SUPERSONIC outputs a patch-style diff rather than a full program, which improves stability and reduces output length. In evaluations against GPT-3.5-Turbo and GPT-4 on 559 test programs, SUPERSONIC outperforms the OpenAI models in running-time and memory optimizations and is roughly 600x smaller than GPT-3.5-Turbo and 3700x smaller than GPT-4, making it far more cost- and energy-efficient. An ablation shows the diff-based output representation yields at least a 2x improvement over full-program generation, with most outputs maintaining high similarity to the input (i.e., targeted edits rather than rewrites). The authors validate results on external contest sites and publicly release their code, data, and models on GitHub for open science.",,,,
DependEval__Benchmarking_LLMs_for_Repository_Dependency_Understanding.pdf,"DEPEND EVAL is a hierarchical, multilingual benchmark designed to assess LLMs’ ability to reason about repository-scale dependencies, built from 15,576 real GitHub repositories across eight languages. It targets three progressively challenging tasks: Dependency Recognition (inferring inter-file calls), Repository Construction (generating structured project layouts from natural language requirements), and Multi-file Editing (coordinated changes across multiple files with in-place or expansion edits). Test data are produced by constructing dependency snippets from import graphs, with GPT-4o and human review to generate natural-language requirements and file descriptions, using ground-truth dependencies for evaluation. Evaluation combines: Exact Match for dependency recognition, graph-based precision/recall/F1 for repository construction, and a multi-file editing score based on several LLM-judged criteria (with predefined weights). Findings show larger models generally perform better but gains diminish for complex tasks like multi-file editing; domain-specific models can outperform larger general models, and performance varies by language (Python/JavaScript easier than PHP/C#, C/C++). The study identifies key challenges in repository-level reasoning—dependency parsing, cross-file reasoning, and maintaining consistency—and calls for better training data and architectures to improve repository-wide code understanding. Limitations include the scope of languages, tasks, and models, with plans to broaden languages, add more tasks (e.g., debugging, refactoring), and expand model coverage, while open-sourcing the data and tools.",,,,
ECCO__Can_We_Improve_Model-Generated_Code_Efficiency_Without_Sacrificing_Functional_Correctness_.pdf,"ECCO is a reproducible benchmark for evaluating the efficiency of model-generated Python code, with two task formulations: history-based code editing and NL-based code generation, and it measures execution correctness, runtime, and memory using a cloud-based Judge0 platform. It compiles about 1.3k programming problems from CodeNet, with over 50k slow/fast solution pairs and both public and private test cases to assess correctness and efficiency. The study analyzes three approaches: in-context learning, iterative refinement with various feedback types (natural language feedback, raw execution feedback, and NL reflection on execution), and fine-tuning conditioned on execution and editing history. The results show that adding execution information helps preserve functional correctness, while NL-based feedback often improves efficiency, but no method consistently improves time/space without some correctness trade-off. History-based editing generally yields higher pass@1 than NL-instructed generation, though exec-refine (execution feedback) often provides the best balance of correctness and efficiency, and NL-based methods can degrade correctness in some settings. Fine-tuning can boost correctness in editing tasks (especially trajectory-conditioned tuning), but prompting-based methods tend to perform best overall, with model scaling yielding mixed effects depending on the paradigm. The authors release ECCO to spur future correctness-preserving program optimization research and note limitations, including focus on Python and competitive programming problems.",,,,
